Warehouse,Product Code,Location,Quantity
1. Cores,Core-11244,E29,22
1. Cores,Core-11245,E29,11
1. Cores,Core-11246,E29,285
1. Cores,Core-11247,E29,362
1. Cores,Core-11540,E31,2727
1. Cores,Core-11543,E32,4264
1. Cores,Core-10292,E33,2
1. Cores,Core-11940,E33,"5,376"
1. Cores,Core-11023,E34,18440
1. Cores,Core-11839,E34,660
1. Cores,Core-10082,E35,290
1. Cores,Core-11462,E35,22198
1. Cores,Core-10101,E36,5000
1. Cores,Core-10162,E36,738
1. Cores,Core-11114,E36,64066
1. Cores,Core-10021,E37,309
1. Cores,Core-10023,E37,27
1. Cores,Core-10090,E38,483
1. Cores,Core-10970,E39,594
1. Cores,Core-10973,E39,1097
1. Cores,Core-10974,E39,565
1. Cores,Core-11969,E39,1361
1. Cores,Core-11971,E39,862
1. Cores,Core-11974,E39,973
1. Cores,Core-11794,E40,2316
1. Cores,Core-11934,E40,481
1. Cores,Core-11810,E41,24500
1. Cores,Core-11811,E41,24500
1. Cores,Core-11535,EO8,365
1. Cores,Core-11842,F01,50
1. Cores,Core-11615,F02,500
1. Cores,Core-11250,F03,2000
1. Cores,Core-10994,F04,2363
1. Cores,Core-11946,F05,432
1. Cores,Core-11948,F05,435
1. Cores,Core-11786,F06,220
1. Cores,Core-11550,F07,215
1. Cores,Core-11984,F10,360
1. Cores,Core-11131,F11,1500
1. Cores,Core-11058,F12,2018
1. Cores,Core-11624,F13,417050
1. Cores,Core-11322,F14,269
1. Cores,Core-11323,F14,377
1. Cores,Core-11324,F14,519
1. Cores,Core-11325,F14,421
1. Cores,Core-11326,F14,604
1. Cores,Core-11327,F14,586
1. Cores,Core-11901,F15,997
1. Cores,Core-11903,F15,500
1. Cores,Core-11821,F16,1656
1. Cores,Core-10300,F17,2000
1. Cores,Core-11321,F17,"1,462"
1. Cores,Core-11833,F18,13873
1. Cores,Core-11195,F19,11350
1. Cores,Core-11236,F20,12
1. Cores,Core-11237,F20,35
1. Cores,Core-11275,F20,1151
1. Cores,Core-11276,F20,445
1. Cores,Core-11432,F22,"1,950"
1. Cores,Core-11507,F22,24
1. Cores,Core-11508,F22,24
1. Cores,Core-11509,F22,24
1. Cores,Core-11510,F22,14
1. Cores,Core-11511,F22,29
1. Cores,Core-11512,F22,36
1. Cores,Core-11522,F22,5
1. Cores,Core-11523,F22,19
1. Cores,Core-11524,F22,10
1. Cores,Core-11531,F22,11
1. Cores,Core-11532,F22,3
1. Cores,Core-11753,F22,4
1. Cores,Core-11757,F22,24
1. Cores,Core-11187,F23,1075
1. Cores,Core-11827,F23,2000
1. Cores,Core-11828,F23,4200
1. Cores,Core-11892,F24,"49,000"
1. Cores,Core-10218,F25,950
1. Cores,Core-10223,F25,784
1. Cores,Core-10224,F25,2
1. Cores,Core-10247,F25,88
1. Cores,Core-11037,F25,281
1. Cores,Core-11038,F25,42
1. Cores,Core-11238,F25,121
1. Cores,Core-11275,F25,86
1. Cores,Core-11276,F25,48
1. Cores,Core-11620,F25,1830
1. Cores,Core-11890,F25,35
1. Cores,Core-11891,F25,35
1. Cores,Core-11796,F26,1203
1. Cores,Core-11293,F28,3616
1. Cores,Core-10283,F29,11
1. Cores,Core-11477,F29,14
1. Cores,Core-11480,F29,7
1. Cores,Core-11494,F29,50
1. Cores,Core-11613,F29,712
1. Cores,Core-11619,F29,486
1. Cores,Core-11935,F30,8304
1. Cores,Core-11468,F31,288
1. Cores,Core-11474,F31,16
1. Cores,Core-11476,F31,4
1. Cores,Core-11479,F31,16
1. Cores,Core-11495,F31,6
1. Cores,Core-11196,F32,2396
1. Cores,Core-10536,F33,162
1. Cores,Core-10655,F33,10
1. Cores,Core-11446,F34,1204
1. Cores,Core-11447,F34,898
1. Cores,Core-11437,F35,3254
1. Cores,Core-11442,F35,3595
1. Cores,Core-11448,F36,1445
1. Cores,Core-11449,F36,1204
1. Cores,Core-11436,F37,3196
1. Cores,Core-11441,F37,3287
1. Cores,Core-11871,F38,68
1. Cores,Core-11872,F38,192
1. Cores,Core-11873,F38,187
1. Cores,Core-11874,F38,196
1. Cores,Core-11878,F38,132
1. Cores,Core-11889,F38,90
1. Cores,Core-11435,F39,3905
1. Cores,Core-11440,F39,2600
1. Cores,Core-11284,F40,3137
1. Cores,Core-11285,F40,1387
1. Cores,Core-11286,F40,1992
1. Cores,Core-11433,F41,3999
1. Cores,Core-11438,F41,2977
1. Cores,Core-11590,F42,3700
1. Cores,Core-11591,F42,3750
1. Cores,Core-11592,F42,3700
1. Cores,Core-11593,F42,3200
1. Cores,Core-11594,F42,3700
1. Cores,Core-11595,F42,3800
1. Cores,Core-11596,F42,"3,800"
1. Cores,Core-11597,F42,"3,850"
1. Cores,Core-11598,F42,"3,800"
1. Cores,Core-11599,F42,"3,800"
1. Cores,Core-11626,F42,1702
1. Cores,Core-11434,F43,3259
1. Cores,Core-11439,F43,3218
1. Cores,Core-10066,FIX,1070
1. Cores,Core-11317,G01,2232
1. Cores,Core-11853,G02,6652
1. Cores,Core-10197,G04,4509
1. Cores,Core-11131,G05,2000
1. Cores,Core-10997,G07,9
1. Cores,Core-11868,G07,1985
1. Cores,Core-11541,G08,5175
1. Cores,Core-11550,G09,11857
1. Cores,Core-11289,G11,2534
1. Cores,Core-11209,G12,36477
1. Cores,Core-11541,G13,5117
1. Cores,Core-11638,G13,84
1. Cores,Core-11069,G16,1419
1. Cores,Core-11834,G16,9179
1. Cores,Core-11842,G17,6
1. Cores,Core-11422,G18,48793
1. Cores,Core-11209,G19,30000
1. Cores,Core-10996,G20,1181
1. Cores,Core-11055,G20,60
1. Cores,Core-11456,G20,2
1. Cores,Core-11457,G20,6
1. Cores,Core-11737,G20,154
1. Cores,Core-11198,G21,"7,808"
1. Cores,Core-11536,G22,"32,053"
1. Cores,Core-11537,G22,"38,453"
1. Cores,Core-11851,G23,"2,316"
1. Cores,Core-11691,G24,540
1. Cores,Core-11399,G25,5
1. Cores,Core-11400,G25,6
1. Cores,Core-11405,G25,110
1. Cores,Core-11410,G25,2
1. Cores,Core-11454,G25,14
1. Cores,Core-11458,G25,8
1. Cores,Core-11306,G27,"3,751"
1. Cores,Core-11718,G28,120
1. Cores,Core-11617,G29,"1,200"
1. Cores,Core-11818,G29,189
1. Cores,Core-11679,G32,2331
1. Cores,Core-11443,G33,1762
1. Cores,Core-11444,G33,"1,394"
1. Cores,Core-11445,G33,1079
1. Cores,Core-11679,G34,2331
1. Cores,Core-11450,G35,505
1. Cores,Core-11451,G35,458
1. Cores,Core-11694,G36,"1,442"
1. Cores,Core-11959,G37,1250
1. Cores,Core-11680,G38,829
1. Cores,Core-11716,G38,6
1. Cores,Core-11947,G38,2551
1. Cores,Core-11793,G39,"1,969"
1. Cores,Core-11949,G39,721
1. Cores,Core-11696,G40,365
1. Cores,Core-11736,G40,1440
1. Cores,Core-11852,G41,3300
1. Cores,Core-11684,G42,498
1. Cores,Core-11696,G42,485
1. Cores,Core-11482,G43,660
1. Cores,Core-11484,G43,800
1. Cores,Core-11131,H00,332
1. Cores,Core-11843,H00,382
1. Cores,Core-11866,H00,"1,939"
1. Cores,Core-11547,H01,"47,700"
1. Cores,Core-11310,H02,2279
1. Cores,Core-10197,H03,7311
1. Cores,Core-11766,H04,314
1. Cores,Core-10255,H06,"1,720"
1. Cores,Core-11861,H07,"17,280"
1. Cores,Core-11580,H08,"12,500"
1. Cores,Core-11581,H08,"12,500"
1. Cores,Core-11582,H08,12500
1. Cores,Core-11583,H08,12450
1. Cores,Core-11584,H08,"12,450"
1. Cores,Core-11585,H08,12500
1. Cores,Core-11586,H08,12400
1. Cores,Core-11587,H08,12500
1. Cores,Core-11588,H08,12500
1. Cores,Core-11589,H08,12500
1. Cores,Core-11627,H08,"3,680"
1. Cores,Core-11846,H09,55000
1. Cores,Core-11164,H10,2676
1. Cores,Core-11560,H10,36700
1. Cores,Core-11561,H10,36550
1. Cores,Core-11562,H10,"36,600"
1. Cores,Core-11563,H10,36250
1. Cores,Core-11564,H10,37400
1. Cores,Core-11565,H10,36350
1. Cores,Core-11566,H10,36550
1. Cores,Core-11567,H10,36600
1. Cores,Core-11568,H10,37000
1. Cores,Core-11569,H10,36600
1. Cores,Core-11942,H11,5062
1. Cores,Core-11163,H12,6951
1. Cores,Core-11570,H12,"1,200"
1. Cores,Core-11571,H12,"1,200"
1. Cores,Core-11572,H12,"1,100"
1. Cores,Core-11573,H12,1200
1. Cores,Core-11574,H12,"1,150"
1. Cores,Core-11575,H12,1250
1. Cores,Core-11576,H12,1350
1. Cores,Core-11577,H12,1300
1. Cores,Core-11578,H12,1300
1. Cores,Core-11579,H12,1500
1. Cores,Core-11326,H13,10
1. Cores,Core-11329,H13,27
1. Cores,Core-11825,H13,72941
1. Cores,Core-11355,H14,731
1. Cores,Core-11356,H14,235
1. Cores,Core-11357,H14,190
1. Cores,Core-11380,H14,119
1. Cores,Core-11381,H14,791
1. Cores,Core-11382,H14,455
1. Cores,Core-11383,H14,14
1. Cores,Core-11384,H14,812
1. Cores,Core-11385,H14,14
1. Cores,Core-11401,H15,353
1. Cores,Core-11402,H15,403
1. Cores,Core-11403,H15,355
1. Cores,Core-11404,H15,411
1. Cores,Core-11406,H15,358
1. Cores,Core-11407,H15,363
1. Cores,Core-11408,H15,352
1. Cores,Core-11409,H15,339
1. Cores,Core-11288,H16,"9,708"
1. Cores,Core-11525,H18,120
1. Cores,Core-11855,H18,24
1. Cores,Core-11622,H19,5179
1. Cores,Core-11316,H20,1820
