Core Number,Internal Title,Vendor,Vendor's Title,Vendor SKU,Backup Vendor,Backup Vendor SKU,Restockable,Vendor Order Unit,Vendor Case Pack,MOQ (Pieces),Buffer Days,Minimum Level,Product URL,Note for Next Order,Case Pack (Pieces),Pieces Per Internal Box,Boxes per Case,Tags & Info,Tag 1,Tag 2,Tag 3,Tag 4,Hazmat,Active,Ignore Until,Notes
SUP-10159,12x8x7 Box,Vendor 52,,SKU 32822,Vendor 69,SKU 31316,Yes,Piece,"1,500","1,500",14,100,,,,,,,,,,2071,,Yes,,
SUP-10160,12x12x7 Box,Vendor 22,,SKU 61244,Vendor 77,SKU 88963,Yes,Piece,500,500,14,100,,,,,,,,,,2072,,Yes,,
SUP-10161,12x12x8 Box,Vendor 55,,SKU 82850,Vendor 97,SKU 50743,No,Piece,500,500,14,0,,,,,,,,,,2073,,Yes,,
SUP-10162,12x12x12 Box,Vendor 86,,SKU 52250,Vendor 42,SKU 32720,Yes,Piece,500,500,14,500,,,,,,,,,,2074,,Yes,,
SUP-10163,12x12 PB,Vendor 70,,SKU 48282,Vendor 42,SKU 14723,No,Piece,"1,000","1,000",14,0,,,,,,,,,,2075,,Yes,,
SUP-10164,"Polystyrene Sheets - 12 x 12 x 1/2""",Vendor 44,,SKU 68896,Vendor 61,SKU 32943,No,Piece,,0,14,0,Link,,,,,,,,,2076,,Yes,,
SUP-10165,12x14 PB,Vendor 69,,SKU 98691,Vendor 64,SKU 33547,No,Piece,,"1,000",14,0,Link,,,,,,,,,2077,,Yes,,
SUP-10166,12x20 PB,Vendor 81,,SKU 57886,Vendor 96,SKU 66831,No,Piece,"1,000","1,000",14,0,,,,,,,,,,2078,,Yes,,
SUP-10167,12x30 PB,Vendor 71,,SKU 2529,Vendor 96,SKU 14025,No,Piece,500,500,14,0,,,,,,,,,,2079,,Yes,,
SUP-10168,14x7x7 Box,Vendor 4,,SKU 34894,Vendor 81,SKU 29598,No,Piece,500,500,14,0,,,,,,,,,,2080,,Yes,,
SUP-10169,14x10x7 Box,Vendor 17,,SKU 323,Vendor 4,SKU 50747,No,Piece,500,500,14,0,,,,,,,,,,2081,,Yes,,
SUP-10170,14x14 PB,Vendor 76,,SKU 92181,Vendor 13,SKU 72720,No,Piece,"1,000","1,000",14,0,,,,,,,,,,2082,,Yes,,
SUP-10171,14x16 PB,Vendor 92,,SKU 60090,Vendor 80,SKU 13753,No,Piece,"1,000","1,000",14,0,,,,,,,,,,2083,,Yes,,
SUP-10172,14x18 PB,Vendor 35,,SKU 18329,Vendor 43,SKU 96579,No,Piece,,"1,000",14,0,Link,,,,,,,,,2084,,Yes,,
SUP-10173,14x19 PB,Vendor 28,,SKU 81012,Vendor 28,SKU 54851,No,Piece,,"1,000",14,0,Link,,,,,,,,,2085,,Yes,,
SUP-10174,15x18 PB,Vendor 39,,SKU 8605,Vendor 92,SKU 32277,No,Piece,"1,000","1,000",14,0,,,,,,,,,,2086,,Yes,,
SUP-10175,16x14x8 Box,Vendor 34,,SKU 36369,Vendor 83,SKU 79861,No,Piece,,25,14,0,Link,,,,,,,,,2087,,Yes,,
SUP-10176,16x26 PB,Vendor 2,,SKU 69465,Vendor 68,SKU 72379,Yes,Piece,"1,000","1,000",14,1 Case,,,,,,,,,,2088,,Yes,,
SUP-10177,17x12x12 Box,Vendor 28,,SKU 71754,Vendor 53,SKU 59051,Yes,Piece,500,500,14,500,,,,,,,,,,2089,,Yes,,
SUP-10178,17x13x7 Box,Vendor 2,,SKU 45733,Vendor 82,SKU 35357,No,Piece,,25,14,0,Link,,,,,,,,,2090,,Yes,,
SUP-10179,17x17x12 Box,Vendor 78,,SKU 99581,Vendor 83,SKU 73028,No,Piece,500,500,14,0,,,,,,,,,,2091,,Yes,,
SUP-10180,18x12x10 Box,Vendor 76,,SKU 23947,Vendor 76,SKU 73491,No,Piece,250,250,14,0,,,,,,,,,,2092,,Yes,,
SUP-10181,18x18x18 Box,Vendor 64,,SKU 55906,Vendor 83,SKU 16349,Yes,Piece,125,250,14,500,,,,,,,,,,2093,,Yes,,
SUP-10182,18x20 PB,Vendor 46,,SKU 90404,Vendor 7,SKU 59008,No,Piece,500,500,14,0,,,,,,,,,,2094,,Yes,,
SUP-10183,18x26 PB,Vendor 27,,SKU 10572,Vendor 69,SKU 6115,No,Piece,,"1,000",14,0,Link,,,,,,,,,2095,,Yes,,
SUP-10184,18x36 PB,Vendor 30,,SKU 47414,Vendor 66,SKU 8206,Yes,Piece,500,500,14,1 Case,,,,,,,,,,2096,,Yes,,
SUP-10185,20x8x8 Box,Vendor 71,,SKU 46700,Vendor 97,SKU 67827,No,Piece,500,500,14,0,,,,,,,,,,2097,,Yes,,
SUP-10186,22x12x10 Box,Vendor 34,,SKU 16275,Vendor 9,SKU 28342,No,Piece,250,250,14,0,,,,,,,,,,2098,,Yes,,
SUP-10187,22x14x10 Box,Vendor 16,,SKU 50533,Vendor 3,SKU 95748,No,Piece,"1,000","1,000",14,0,,,,,,,,,,2099,,Yes,,
SUP-10188,22x16x10 Box,Vendor 31,,SKU 80494,Vendor 37,SKU 97048,No,Piece,500,500,14,0,,,,,,,,,,2100,,Yes,,
SUP-10189,22x16x14 Box,Vendor 39,,SKU 77656,Vendor 81,SKU 10059,No,Piece,500,500,14,0,,,,,,,,,,2101,,Yes,,
SUP-10190,22x22x22 Box,Vendor 65,,SKU 47762,Vendor 58,SKU 9035,No,Piece,120,120,14,0,,,,,,,,,,2102,,Yes,,
SUP-10191,24x15x12 Box,Vendor 43,,SKU 86605,Vendor 46,SKU 58054,No,Piece,100,100,14,0,,,,,,,,,,2103,,Yes,,
